task_name,task_type,days_until_deadline,remaining_days,required_hours,progress_percent,current_cgpa,task_weight,weightage_marks,difficulty_level,stress_level,past_delay_history,dependency_count,risk_score,delay_days,will_delay
Data Structures Assignment,assignment,9,4,9.1,94,9.35,10,85,medium,low,3,1,26.2,-3,0
Digital Electronics Lab #4,lab_experiment,20,18,64.9,0,8.55,15,99,medium,medium,3,6,50.5,6,1
OS Assignment #4,assignment,29,27,48.7,5,8.38,39,25,very_hard,medium,8,2,66.9,14,1
Surprise Test,exam,22,21,62.1,10,9.13,11,58,medium,high,5,1,53.1,6,1
Internal Assessment (Sem 2),exam,21,20,43.2,31,4.98,29,44,very_hard,high,8,1,75.7,11,1
Mid-Semester Exam #2,exam,14,12,6.2,72,9.26,25,37,hard,medium,10,3,46.1,3,1
Unit Test (Sem 5),exam,21,18,71.9,51,6.17,13,75,medium,high,1,1,38.1,-2,0
Industry Internship Project #1,project,22,19,42.8,70,9.16,5,97,hard,high,8,6,55.5,5,1
End-Semester Exam,exam,14,14,76.4,92,5.58,37,32,medium,low,10,2,39.3,-2,0
Compiler Lab - Lexical Analysis (Sem 1),lab_experiment,13,10,2.5,46,9.27,24,40,easy,critical,1,0,36.2,0,0
Machine Learning Assignment (Sem 3),assignment,19,15,14.0,67,9.23,32,37,very_hard,high,3,5,60.8,5,1
IoT Based Project,project,8,7,6.1,2,7.53,19,85,medium,low,10,0,49.5,4,1
Data Structures Assignment (Sem 2),assignment,9,7,53.8,27,7.24,41,83,medium,high,6,1,65.7,2,1
Software Engineering Assignment #3,assignment,19,14,5.3,83,9.9,11,17,medium,medium,1,1,19.5,-2,0
Digital Electronics Lab #4,lab_experiment,7,5,37.5,9,6.66,40,22,easy,critical,0,0,55.2,13,1
Network Lab - Packet Analysis #4,lab_experiment,9,6,72.3,21,6.27,29,43,very_hard,high,4,3,81.7,12,1
Research Project,project,30,30,46.8,69,4.37,25,17,easy,medium,8,1,40.7,1,1
DBMS Assignment (Sem 2),assignment,28,27,32.9,72,5.48,43,15,hard,medium,9,4,59.9,9,1
Viva Voce,exam,11,8,11.3,82,5.8,25,19,easy,high,9,0,43.1,2,1
Digital Electronics Lab #3,lab_experiment,28,28,70.5,47,5.71,33,79,hard,high,10,4,70.9,1,1
End-Semester Exam,exam,28,28,59.7,19,5.63,43,36,hard,medium,10,6,72.5,5,1
ML Model Project (Sem 2),project,15,13,4.5,42,8.63,45,43,easy,medium,6,4,44.1,1,1
OS Assignment #2,assignment,22,18,12.7,16,4.25,28,15,very_hard,medium,3,5,73.6,2,1
Module Exam,exam,28,27,78.1,22,9.29,6,32,hard,medium,6,6,58.2,11,1
AI Lab - Search Algorithms #2,lab_experiment,27,27,68.8,28,5.2,34,54,medium,high,3,1,55.8,1,1
Embedded Systems Lab,lab_experiment,32,30,28.7,65,6.4,39,52,very_hard,low,4,1,49.9,10,1
Mid-Semester Exam #1,exam,25,23,35.5,65,4.69,41,34,medium,high,0,4,46.1,13,1
Compiler Lab - Lexical Analysis (Sem 2),lab_experiment,31,29,50.2,84,9.09,24,74,medium,medium,6,5,40.6,-1,0
DS Lab - Linked List (Sem 7),lab_experiment,24,23,49.6,38,6.44,5,48,medium,medium,9,4,50.9,11,1
Weekly Test (Sem 8),exam,10,6,38.4,94,5.02,10,46,medium,high,5,0,52.2,14,1
AI Lab - Search Algorithms,lab_experiment,0,0,20.3,60,7.67,9,68,medium,high,3,5,69.9,12,1
Capstone Project,project,25,20,1.4,96,9.16,11,64,medium,high,8,3,39.9,-3,0
DBMS Lab - SQL Queries #4,lab_experiment,25,21,79.0,76,5.9,33,88,hard,critical,6,6,75.1,9,1
Research Project #4,project,25,24,67.3,35,8.59,38,72,hard,medium,1,5,46.8,5,1
AI Lab - Search Algorithms (Sem 6),lab_experiment,3,2,12.9,49,8.16,50,37,easy,medium,8,3,56.2,7,1
Networking Assignment (Sem 7),assignment,35,30,2.5,97,7.45,35,10,very_hard,medium,6,6,59.1,14,1
Open Source Contribution #5,project,9,7,35.4,3,6.33,47,96,hard,high,7,1,78.1,10,1
Software Engineering Assignment,assignment,23,20,11.7,59,5.09,21,58,medium,medium,5,6,55.3,7,1
Online Quiz #3,exam,5,0,43.6,44,5.35,9,93,easy,low,3,1,58.1,14,1
Computer Graphics Assignment,assignment,20,15,10.0,27,6.79,21,57,easy,high,1,6,46.7,14,1
AI Lab - Search Algorithms #1,lab_experiment,23,18,72.7,48,6.38,50,35,easy,high,10,1,49.4,2,1
Surprise Test #1,exam,20,17,53.3,8,7.04,26,11,hard,high,1,3,59.0,6,1
Research Project (Sem 3),project,21,16,22.3,68,8.65,34,65,hard,high,5,6,58.8,4,1
Algorithms Assignment #4,assignment,22,18,53.8,43,4.17,25,33,medium,medium,4,2,49.9,5,1
Module Exam,exam,12,7,33.1,71,8.55,49,70,hard,medium,0,0,35.7,-1,0
Embedded Systems Lab (Sem 5),lab_experiment,20,18,38.4,67,6.06,40,52,medium,medium,4,2,41.6,4,1
Networking Assignment (Sem 2),assignment,22,17,15.6,27,8.43,22,85,very_hard,medium,4,0,53.8,14,1
AI Lab - Search Algorithms,lab_experiment,9,9,56.9,16,5.65,8,80,medium,critical,10,6,77.6,13,1
Mini Project #1,project,18,15,27.9,6,5.51,35,24,hard,medium,1,4,60.3,11,1
DBMS Assignment,assignment,7,7,45.1,53,7.64,44,38,hard,medium,7,2,57.8,14,1
ML Model Project (Sem 1),project,35,30,8.8,97,5.25,18,43,hard,low,2,4,38.4,-3,0
OS Lab - Process Scheduling (Sem 8),lab_experiment,22,19,24.0,29,5.73,23,99,very_hard,low,3,2,59.5,13,1
Embedded Systems Lab (Sem 4),lab_experiment,6,4,66.3,9,4.36,24,86,hard,high,4,3,80.6,2,1
ML Model Project (Sem 5),project,20,17,35.6,76,4.24,32,51,hard,low,3,5,49.0,14,1
Algorithms Assignment,assignment,19,15,52.5,35,5.09,42,65,hard,medium,1,3,53.2,6,1
IoT Based Project,project,13,10,55.8,36,7.98,30,80,easy,low,4,2,31.8,-3,0
Open Source Contribution #1,project,2,1,42.0,79,8.54,45,66,hard,medium,8,1,67.7,5,1
Capstone Project (Sem 1),project,20,19,57.1,39,7.31,40,62,easy,critical,1,3,50.2,2,1
IOT Lab Experiment #3,lab_experiment,29,26,78.4,31,6.74,14,59,easy,high,2,6,48.2,2,1
Online Quiz,exam,14,9,24.6,75,7.48,47,72,very_hard,medium,7,2,58.7,6,1
Capstone Project (Sem 4),project,11,7,31.3,99,6.46,25,70,hard,high,6,5,64.7,13,1
IOT Lab Experiment (Sem 3),lab_experiment,34,30,27.2,12,9.25,33,22,medium,medium,2,3,42.9,-2,0
Web Dev Assignment (Sem 6),assignment,25,22,52.3,42,9.11,39,58,very_hard,high,7,6,72.5,9,1
Computer Graphics Assignment (Sem 4),assignment,23,21,79.8,95,4.54,11,91,hard,low,2,5,40.1,5,1
Data Structures Assignment #3,assignment,13,11,35.0,31,7.19,41,97,hard,low,1,4,45.9,0,0
IOT Lab Experiment,lab_experiment,19,14,21.1,32,8.0,34,46,hard,low,7,2,48.0,-1,0
